[1, 2]	[14316, 349]
[19, 20]	[14294, 447]
[35, 36]	[14268, 441]
[41, 42]	[14309, 448]
[57, 58]	[14460, 444]
[63, 64]	[14329, 459]
[85, 86]	[14216, 495]
[107, 108]	[14202, 522]
[17, 18]	[14361, 430]
[21, 22]	[14302, 462]
[37, 38]	[14376, 440]
[3, 4]	[14265, 341]
[43, 44]	[14233, 442]
[65, 66]	[14499, 475]
[87, 88]	[14425, 494]
[109, 110]	[14157, 529]
[23, 24]	[14375, 440]
[45, 46]	[14411, 444]
[5, 6]	[14457, 353]
[67, 68]	[14304, 456]
[89, 90]	[14336, 498]
[111, 112]	[14282, 533]
[25, 26]	[14382, 442]
[47, 48]	[14325, 449]
[69, 70]	[14555, 468]
[7, 8]	[14472, 363]
[91, 92]	[14235, 508]
[113, 114]	[14197, 531]
[119, 120]	[14199, 514]
[27, 28]	[14373, 450]
[49, 50]	[14358, 430]
[71, 72]	[14477, 462]
[93, 94]	[14303, 516]
[9, 10]	[14481, 355]
[99, 100]	[14260, 525]
[115, 116]	[14166, 529]
[121, 122]	[14338, 504]
[29, 30]	[14286, 453]
[51, 52]	[14488, 445]
[73, 74]	[14533, 365]
[79, 80]	[14409, 489]
[95, 96]	[14408, 511]
[101, 102]	[14474, 514]
[117, 118]	[14122, 533]
[11, 12]	[14466, 364]
[123, 124]	[14462, 510]
[31, 32]	[14268, 443]
[53, 54]	[14117, 456]
[59, 60]	[14341, 450]
[75, 76]	[14321, 474]
[81, 82]	[14430, 493]
[97, 98]	[14200, 500]
[103, 104]	[14452, 521]
[125, 126]	[14733, 503]
[13, 14]	[14422, 358]
[33, 34]	[14360, 437]
[39, 40]	[14306, 450]
[55, 56]	[14325, 445]
[61, 62]	[14323, 457]
[77, 78]	[14578, 477]
[83, 84]	[14462, 494]
[105, 106]	[14258, 526]
[15, 16]	[14433, 353]
